"id","code","organizationid","zipcode","nodetype"
"0b0727ea-03b5-4bd9-9e43-11d0356ac068","II01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","IT 20098","Warehouse"
"0ef07309-c2de-4e0e-b958-196b9a0da5f9","PP01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","PL 44-109","Factory"
"24fb3f19-7378-4f49-83cc-46b5681be784","JJ01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","BR 02033-000","Factory"
"4d75b41a-9e2e-4abc-86b8-cf9539dbc8b0","BE01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","ES 33211","Factory"
"59f4b304-dcaa-4c1f-b5bb-c4c052342e3c","VV01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","ES 46210","Warehouse"
"64bda442-75d6-47ec-afa2-79be85e6aa3c","GG01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","AR C1651","Factory"
"66242741-9daf-48ef-9665-3b8a7d56dfee","UL01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","US 92154","Warehouse"
"781d83ca-aaed-4b1c-9df3-385c8bd83ad3","UT01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","US 61764","Factory"
"7b3675e1-2086-4352-9914-daf3063c0f01","UC01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","IL 60160","Factory"
"7df6fd7e-dbce-49da-b4ff-df1fc0d35653","UD01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","US 76207","Warehouse"
"87163984-f593-4bd4-b2cd-2219da2a3e0b","AA01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","DE 41540","Warehouse"
"8f3121b1-4bf1-42aa-b8f2-4b9960adf1e0","MM01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","ES 28914","Warehouse"
"93d6499f-7353-4de0-a61b-6050bb81dad7","US01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","US 29151","Warehouse"
"95add2f8-3f31-4350-afce-f4e8f6db5ca6","TG01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","MX 45615","Warehouse"
"9db2b4ef-db30-4112-8096-57a47279dbe8","KK01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","GB B6 7JJ","Warehouse"
"a1eacff7-0a38-4ae5-8962-976864ac2fbe","BP01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","ES 34192","Factory"
"ac2d4ca9-d809-42c1-96ce-5f6705ccb5b2","BB01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","ES 8940","Factory"
"b654f696-dd39-4da3-b525-02c1786b300e","PK01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","PL 80-299","Warehouse"
"bedb1ce6-b804-42ef-a93e-0df1341f1100","TI01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","TAM 87316","Factory"
"bfab1a84-0cf0-457f-a8d9-9f0f7e6ce2f6","BT01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","ES 8940","Warehouse"
"c331948d-3a40-4712-8e9e-4c98d4e0d679","TJ01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","MX 54030","Warehouse"
"c62cfcfe-5c25-4b58-ab76-6c63ba35500c","TT01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","MX 22444","Factory"
"c9c2272b-d050-4784-afeb-b610b4f3e004","FQ01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","FR 69740","Warehouse"
"f5f2c694-364c-4557-b4ef-6b36af449733","FF01","a8437877-1ba8-47a3-bb86-ddf6d7ca4332","FR 91320","Warehouse"
